# epic,raj2000,dej2000,kepmag
248368737,272.75458,-27.90833,16.4
248368738,272.75525,-28.04544,15.8
248368739,272.67012,-28.35158,17.24
248368740,272.32779,-28.37261,17.15
248368741,272.38729,-28.13411,16.6
248368742,272.24758,-28.09794,16.15
248368743,272.26983,-28.15308,17.03
248368744,271.41825,-28.46961,16.78
248368745,271.43421,-28.60936,17.45
248368746,271.47033,-28.57119,17.1
248368747,271.73462,-28.54064,17.08
248368748,272.10817,-28.335,17.01
248368749,272.18117,-28.23097,16.54
227856268,274.247053,-16.994091,10.025
222182375,272.389001,-27.869029,9.988
222808946,275.856494,-26.953014,9.492
224400629,270.986846,-24.312531,8.148
224352697,271.293961,-24.39857,6.966
224082656,268.725182,-24.887095,6.307
224757434,270.496203,-23.691051,10.245
227049676,270.467843,-19.106132,8.162
226504882,272.987909,-20.423372,7.334
224432834,270.660913,-24.255385,7.293
227825246,270.050042,-17.08903,10.225
224947037,268.474212,-23.375142,10.129
226241087,270.240058,-20.988113,8.514
224487047,271.624055,-24.159158,9.177
223573464,267.251728,-25.749536,8.69
224332430,268.400509,-24.43521,10.072
227373493,273.264133,-18.312277,9.276
227108971,270.214692,-18.967814,9.263
228293755,272.258833,-15.528368,9.431
224351176,274.35356,-24.401226,9.582
226097699,272.591411,-21.276434,10.035
225191577,270.100608,-22.964474,9.91
227305488,272.966495,-18.481138,10.077
225990054,262.764426,-21.485288,9.612
222267075,272.688906,-27.742984,15.164
248368751,264.09708,-25.20906,17.23
248368752,267.8495,-29.31706,16.69
248368753,267.74692,-28.31392,18.12
248368754,265.21146,-25.06483,16.83
248368755,272.78496,-26.55436,17.6
223005777,264.700338,-26.658866,13.436
248368756,264.50575,-25.96633,16.58
248368757,273.29738,-23.26369,16.63
248368758,266.70071,-25.07417,17.58
248368759,268.21633,-28.02917,17.55
221646527,267.76525,-28.703581,12.995
248368760,270.86525,-25.08953,17.1
248368761,265.90954,-25.54408,16.67
248368762,265.37404,-25.72017,17.19
248368763,269.27108,-27.79911,17.9
248368764,266.03671,-26.09461,16.53
248368765,270.38258,-26.66392,16.31
223359631,275.899409,-26.102341,15.786
226238697,264.97234,-20.992975,14.548
248368766,273.0405,-27.47078,17.93
221997391,272.033151,-28.149006,15.326
223787734,272.01805,-25.388834,15.162
248368767,267.44938,-23.13586,15.83
221948597,268.358111,-28.222242,16.29
248368768,266.01475,-26.06547,16.37
248368769,265.32363,-25.67819,16.31
248368770,269.57667,-27.25914,16.31
248368771,267.929,-29.29119,16.4
248368772,265.27379,-25.62061,16.24
248368773,265.71596,-26.73986,16.82
223623903,271.116291,-25.666058,15.051
248368774,270.44075,-27.06119,16.25
248368775,267.66833,-22.23289,16.82
222833454,264.040759,-26.916792,16.319
248368776,267.44938,-23.13586,15.84
248368777,275.2565,-25.83328,17.3
248368778,269.13717,-21.27142,17.79
248368779,266.98625,-26.53083,18.83
248368780,269.67771,-21.25331,19.39
248368781,271.55842,-22.54711,17.26
225150059,268.623065,-23.036201,15.309
248368782,268.32042,-22.32242,16.29
248368783,265.32075,-26.28681,16.73
248368784,267.643,-24.68989,17.08
222832555,271.705527,-26.918177,14.597
248368785,272.43254,-25.37908,17.1
248368786,271.31275,-27.73897,18.27
248368787,272.69925,-27.78944,18.35
222942770,265.612237,-26.754019,15.162
224346042,274.090296,-24.410637,14.464
248368788,272.63596,-28.08622,17.2
248368789,265.96658,-25.66414,17.07
248368790,265.78338,-26.03742,17.4
222821983,264.402986,-26.933846,14.849
223126835,266.073652,-26.473694,13.27
248368791,278.23925,-23.74744,17.38
248368792,270.21067,-25.62561,18.22
248368793,267.11288,-25.00192,18.19
223127342,263.998864,-26.47291,14.617
221405871,267.744878,-29.14838,13.032
248368794,268.12742,-24.43125,18.64
248368795,272.43229,-24.955,18.24
248368796,269.03821,-27.36747,18.92
248368797,274.60242,-25.68475,18.95
224287270,267.461839,-24.517563,13.162
248368798,268.99117,-26.16686,19.33
223695197,265.758872,-25.545492,13.76
221312395,267.750392,-29.336657,13.728
224258716,266.966476,-24.569506,13.289
225452539,272.452447,-22.497123,13.992
224991310,267.350425,-23.30254,14.128
222920793,272.146347,-26.786774,15.057
223315054,272.30093,-26.175244,15.094
224544080,273.882349,-24.057604,15.304
223051042,265.780919,-26.589788,15.267
225099906,267.279351,-23.121864,16.249
248368799,274.02858,-24.88236,15.07
225623685,270.923927,-22.183014,9.982
222372216,275.315108,-27.590066,14.909
248368800,274.81863,-27.17497,14.16
248368801,273.37554,-22.85772,14.67
223665374,275.799589,-25.596067,14.592
223121291,272.755869,-26.482169,13.827
223254056,272.438857,-26.27321,13.343
248368802,265.12854,-24.69525,16.11
224782319,273.415417,-23.64879,15.24
223205550,271.648066,-26.350602,15.08
223035042,274.317449,-26.614356,15.683
226320054,272.598775,-20.824378,12.09
222668291,274.940822,-27.159206,12.399
226412831,273.85947,-20.629543,10.453
222343049,269.089557,-27.632173,10.339
225322328,271.203286,-22.732397,10.14
227315843,275.273086,-18.455469,9.864
227267697,275.829797,-18.574765,9.797
227916945,276.185432,-16.797175,9.055
226479027,273.060265,-20.483499,10.955
222365259,268.242265,-27.600136,9.927
224356281,266.754637,-24.392022,14.403
248368803,264.71475,-26.28458,16.85
225172767,267.691558,-22.996981,16.233
223482421,266.24449,-25.899663,14.837
223763211,264.900611,-25.430515,14.019
222276550,271.36423,-27.729044,13.535
222759976,271.35629,-27.02479,14.747
248368804,271.616,-27.67472,14.28
226377509,273.019034,-20.704051,10.978
222429836,272.690748,-27.506998,15.128
223557439,263.995366,-25.775609,13.514
222832946,271.452788,-26.917598,13.889
225677621,268.484682,-22.085691,15.362
248368805,267.03367,-24.64358,14.45
223004149,269.668592,-26.661345,13.713
223080337,270.937354,-26.545046,15.308
248368806,267.92079,-23.17664,15.46
248368807,265.51375,-26.48042,15.99
248368808,274.73679,-26.60528,15.77
223096777,265.002766,-26.519794,15.101
248368809,264.39792,-26.65822,16.37
226144734,268.254079,-21.183687,13.697
222361622,271.751849,-27.605379,13.021
248368810,272.15792,-27.63194,13.22
248368811,265.59396,-25.824,15.72
248368812,263.87138,-26.93147,15.81
248368813,266.72938,-23.20489,15.22
225643897,267.009017,-22.147037,15.49
225251264,266.757749,-22.859595,15.081
224107457,273.343954,-24.842585,15.082
225112638,267.900582,-23.100278,14.548
226007518,267.975509,-21.451873,13.491
223493966,265.338139,-25.880754,14.403
226338470,269.623491,-20.785692,15.083
225008081,266.817395,-23.275227,15.296
224669306,275.230889,-23.840467,12.769
225072880,266.736706,-23.168051,15.542
248368814,267.28475,-21.89278,15.55
248368815,273.199667,-27.387528,15.725
222939652,275.115706,-26.758621,15.843
248368816,271.664333,-28.327056,16.39
248368817,271.997083,-27.466417,15.56
248368818,271.728167,-27.510028,15.566
248368819,266.546625,-22.854444,15.901
248368820,272.405042,-28.015472,15.838
248368821,275.134625,-23.819056,16.443
248368822,272.049625,-26.940111,15.631
248368823,272.119458,-26.924444,15.684
248368824,274.197667,-26.127861,15.736
248368825,271.635667,-27.604083,15.772
248368826,271.526917,-27.963861,15.791
248368827,272.2985,-27.435944,15.683
248368828,272.228458,-27.530194,15.946
248368829,273.293333,-23.723639,15.737
248368830,272.69675,-28.123306,15.778
248368831,275.303083,-24.0395,15.579
248368832,273.137292,-27.512694,16.168
222964820,272.03126,-26.72103,14.929
248368833,275.384833,-25.641278,16.196
248368834,274.125125,-26.312944,16.159
248368835,272.583958,-27.788139,15.807
248368836,272.6705,-26.328611,15.622
222113850,272.526898,-27.972944,15.247
248368837,271.442875,-26.761944,16.009
248368838,272.196292,-27.471806,16.202
248368839,272.845917,-28.211417,17.402
248368840,274.061917,-24.118222,16.135
221736118,271.71406,-28.552749,15.246
248368841,272.6895,-27.195222,15.3
248368842,274.138958,-25.896278,15.301
248368843,272.819417,-27.799,15.308
248368844,272.157583,-27.603639,16.367
248368845,272.470208,-27.995278,16.063
248368846,271.43425,-27.579667,15.315
222029248,271.447172,-28.101144,15.396
248368847,271.412833,-27.601333,15.281
248368848,272.752875,-28.292278,15.264
248368849,272.2045,-27.787639,15.253
248368850,272.723833,-26.773278,15.25
248368851,272.186583,-26.394833,16.409
248368852,271.383542,-26.904806,15.874
248368853,266.673875,-22.3775,16.433
248368854,271.590833,-26.980639,15.944
223556966,273.550294,-25.776367,15.164
248368855,273.618,-26.035111,15.208
222648654,272.196176,-27.187773,16.078
223381838,273.810366,-26.065764,14.798
248368856,271.516,-28.377583,16.088
248368857,274.946,-26.783611,15.942
