# epic,raj2000,dej2000,kepmag
222522500,270.897641,-27.373021,14.307
222695471,271.643855,-27.119529,14.302
222929385,271.222096,-26.773922,14.301
222136221,271.866934,-27.938826,14.234
221773945,271.779857,-28.490976,14.228
222596941,271.52146,-27.263714,14.221
222521106,270.834994,-27.375029,14.122
222590880,270.870865,-27.272551,14.089
222627308,270.694961,-27.219156,14.053
222983439,271.328843,-26.693018,14.048
221718350,271.583832,-28.582079,14.04
222594016,271.625626,-27.268002,13.936
222509871,270.822766,-27.39138,13.58
222533695,270.806949,-27.356546,13.3
222958300,271.524515,-26.730837,14.357
222063900,271.578788,-28.04883,13.099
222806825,270.720821,-26.956196,14.432
222522331,270.80196,-27.373289,15.027
222548618,271.601199,-27.334597,14.989
221965093,271.860688,-28.197599,14.942
222525091,270.899741,-27.369141,14.891
222551169,270.617169,-27.330847,14.86
222613836,270.798263,-27.23901,14.843
222806673,270.563232,-26.956438,14.837
222148346,271.670094,-27.920581,14.773
222511853,270.792793,-27.388453,14.733
221937241,271.770244,-28.239511,14.718
222883371,271.081059,-26.842596,14.685
222818259,270.518674,-26.939335,14.629
222194796,271.772316,-27.850157,14.619
222843787,271.105857,-26.901091,14.586
221995510,271.869136,-28.15193,14.432
222656365,274.836243,-27.176676,13.173
224361631,267.128756,-24.382412,13.834
224402431,274.163339,-24.309275,11.931
222209457,273.311852,-27.82814,12.911
222001111,273.015382,-28.14339,10.79
225166718,267.173164,-23.00746,11.782
224847398,266.380899,-23.540207,12.725
224330915,271.096782,-24.437976,9.174
224446184,271.085662,-24.231886,10.196
224314764,271.086584,-24.46735,13.948
224312151,271.084869,-24.472063,14.293
224321494,271.138415,-24.454953,14.064
224327278,271.202119,-24.444556,13.957
248368905,271.1817,-24.4606,15.7
224415423,271.170332,-24.286351,16.339
248368906,271.1462,-24.4367,16.3
224379078,270.89987,-24.351033,14.371
224389484,270.911254,-24.332455,14.527
224389138,270.935578,-24.333025,13.886
224392324,270.925772,-24.327197,14.231
224413935,270.794647,-24.288903,14.292
224417127,270.880575,-24.283181,15.141
224420233,270.87988,-24.277546,15.98
224431765,270.848798,-24.257152,13.869
224412309,271.024754,-24.29174,14.666
248368907,270.8571,-24.3492,15.2
248368908,270.846012918,-24.4679841667,16.1
224332620,270.84413,-24.434881,11.858
224352677,270.783286,-24.3986,13.481
224364733,270.830957,-24.376851,14.472
224367988,270.838781,-24.370897,13.376
224369616,270.844127,-24.368011,10.262
224365014,270.858208,-24.376351,12.901
224341656,270.844367,-24.418556,14.39
224412458,271.098669,-24.29146,15.892
224328215,271.12865,-24.442844,13.957
224444934,271.12028,-24.234043,12.047
224381393,271.238921,-24.346821,10.502
224467724,271.091044,-24.193742,14.034
224387244,270.724801,-24.336447,15.243
224493585,270.599026,-24.147018,14.55
224450714,271.251829,-24.22412,14.054
224426643,271.376387,-24.26629,14.188
224316091,271.189716,-24.464914,15.441
224313065,271.170978,-24.470499,13.819
224311432,271.164379,-24.473396,13.854
224386961,270.961226,-24.336971,14.339
224419741,271.021253,-24.278379,16.171
224320688,271.245928,-24.456474,10.871
224314197,270.858105,-24.468383,15.34
224345928,270.779004,-24.410833,12.893
224393028,270.911309,-24.325932,14.821
224290871,270.951053,-24.510863,14.709
248368909,271.114007918,-24.2408519443,16.3
224359310,271.256597,-24.386744,14.203
224380202,270.726208,-24.349039,14.336
224463623,270.702246,-24.201097,16.107
224319473,271.222697,-24.458635,13.602
224359694,271.229003,-24.386053,15.913
224392069,271.183453,-24.327661,14.248
224422316,271.090974,-24.273916,15.781
224409672,271.074477,-24.296344,15.739
224433745,271.05569,-24.253746,16.052
224305947,271.110369,-24.483445,14.198
224317366,271.088874,-24.462525,15.046
224430834,270.633593,-24.25887,14.523
224418655,270.992736,-24.280359,14.584
224417043,270.980265,-24.283324,14.115
224400745,270.718573,-24.312338,14.075
224351290,271.234398,-24.401008,11.74
224314265,271.143375,-24.468224,11.98
224311447,271.199117,-24.473376,11.297
224444697,271.090887,-24.234486,13.673
224408806,271.219647,-24.297953,11.357
224316080,271.086376,-24.464941,13.948
224439742,271.081378,-24.243156,12.202
224319871,271.078357,-24.457926,14.781
224440447,271.074123,-24.241968,13.397
224451806,271.072836,-24.222301,15.869
224410960,271.069232,-24.294097,15.536
224308921,271.093979,-24.478019,14.885
248368910,271.095,-24.274,16.2
224409162,271.106623,-24.297236,14.727
224317352,271.104252,-24.462568,11.487
224420797,271.067159,-24.27658,12.495
224433249,271.10139,-24.254654,12.044
224436629,271.065555,-24.248715,12.653
224451295,271.006279,-24.223179,16.157
224396425,271.000308,-24.319986,15.014
248368911,270.9887,-24.2694,15.7
224436688,271.024017,-24.248615,16.018
224430588,271.059979,-24.259299,14.913
224419990,271.059597,-24.277979,12.571
224450496,271.057787,-24.224476,12.226
224403700,271.054818,-24.306956,13.828
224427407,270.850764,-24.264987,13.911
224437099,271.08645,-24.247858,13.437
224460976,271.040811,-24.205888,13.312
224428514,271.090341,-24.263061,13.419
224340256,271.214998,-24.421069,14.316
224382041,271.210652,-24.345636,15.713
248368912,271.2067,-24.2563,15.9
224326168,271.204994,-24.446557,15.518
224328040,271.202567,-24.443194,13.03
224353581,271.199924,-24.396974,14.394
224356395,271.199368,-24.391831,14.853
224407525,271.197662,-24.300391,12.684
248368913,271.1979,-24.3639,15.0
224457138,270.861336,-24.212683,11.907
224394353,270.916103,-24.323624,13.848
224461008,270.922602,-24.205822,14.595
224402329,271.178225,-24.309459,10.62
248368914,270.9542,-24.2614,16.3
224297601,271.09806,-24.498673,16.125
224432562,270.721276,-24.255837,14.397
224390120,270.722347,-24.331253,13.982
224387008,270.738584,-24.336881,14.577
224386438,270.985643,-24.337912,14.541
224321303,271.191304,-24.455346,14.262
224308209,271.127976,-24.479347,13.879
224327080,271.168572,-24.444908,16.289
224362997,271.17597,-24.379919,15.328
224439430,271.060391,-24.243688,9.298
224419164,270.945337,-24.279437,10.907
224379865,271.188419,-24.349623,15.594
224420667,271.186406,-24.276778,17.166
224438171,271.120046,-24.245878,14.876
224328571,271.121544,-24.44218,16.086
224453162,271.187467,-24.219835,16.181
224394253,271.162356,-24.323793,11.435
224321306,271.186142,-24.455342,15.757
224352275,271.184338,-24.399298,14.539
224439122,271.183802,-24.244185,16.072
224330659,271.174683,-24.438466,14.119
224380390,271.17351,-24.348697,10.046
224399118,271.172673,-24.315246,14.162
224316568,271.169314,-24.464034,15.819
224424757,271.165137,-24.269697,14.623
248368915,271.1492,-24.4444,15.4
224319597,271.147224,-24.45841,14.281
224322753,271.140372,-24.452698,13.822
226109458,272.11862,-21.253107,7.739
227321317,273.17126,-18.441795,15.139
227329786,273.637427,-18.420755,10.743
225514799,270.868187,-22.383029,12.164
225377677,270.593083,-22.6334,14.933
225389644,269.783272,-22.611862,13.968
225587997,269.950933,-22.247822,12.951
224504404,268.834212,-24.127335,13.312
227698422,273.426985,-17.470057,12.798
226927839,271.987326,-19.399127,9.627
248368916,270.51696,-23.6281,11.8
248368917,270.143,-22.7942,10.531
226564268,272.437736,-20.286207,13.945
222498720,275.088153,-27.407709,6.965
225102663,273.260399,-23.117282,6.964
222583990,268.392594,-27.282646,6.949
223370117,275.301699,-26.085116,6.921
225330052,270.757135,-22.718491,6.863
227249894,274.680252,-18.619671,6.875
226361653,270.655498,-20.737627,6.876
223738147,272.2252,-25.473057,6.915
227307730,274.594612,-18.475641,6.916
226557170,264.036863,-20.303066,12.375
225576868,275.752502,-22.268249,12.652
