271.2674166670, -29.3029166667,      11.00, 0
270.8201666670, -30.1141944444,      11.00, 0
270.7272916670, -28.8512500000,      11.00, 0
271.2942916670, -28.8585277778,      11.00, 0
269.0386250000, -30.0243333333,      11.00, 0
268.3953333330, -28.8419027778,      11.00, 2
270.0637916670, -29.1434444444,      11.00, 0
260.7637083330, -28.5664166667,      11.00, 0
272.0476666670, -25.4399388889,      11.00, 2
273.1525416670, -25.0497638889,      11.00, 2
268.4547916670, -28.8988333333,      11.00, 2
271.6757916670, -31.5132777778,      11.00, 0
274.9407916670, -23.5649722222,      11.00, 2
271.8803333330, -25.5752777778,      11.00, 2
272.9592916670, -23.2721388889,      11.00, 2
270.6252083330, -31.1347777778,      11.00, 0
270.0637916670, -29.1434444444,      11.00, 0
269.2205000000, -28.5701111111,      11.00, 2
268.5743750000, -28.9208138889,      11.00, 2
266.4652500000, -33.9790555556,      11.00, 0
266.2950416670, -26.3497777778,      11.00, 2
268.4547916670, -28.8988333333,      11.00, 2
262.4982500000, -30.2713333333,      11.00, 0
269.9231250000, -34.2380277778,      11.00, 0
272.7866250000, -26.8041666667,      11.00, 2
271.9265833330, -27.4809166667,      11.00, 2
272.9202083330, -26.2615000000,      11.00, 2
266.4652500000, -33.9790555556,      11.00, 0
264.3814583330, -34.2998611111,      11.00, 0
264.8387083330, -21.0760833333,      11.00, 2
265.0774583330, -23.9435833333,      11.00, 0
269.4601250000, -29.1368055556,      11.00, 0
270.6709166670, -26.8995138889,      11.00, 2
271.1842916670, -28.1936000000,      11.00, 2
270.8587500000, -28.9006000000,      11.00, 0
273.5636250000, -27.6960000000,      11.00, 0
